run_tag,n,k,V_count,alpha,alpha_odd,alpha_sq,eq1_alphaodd_eq_alpha,eq2_alphaodd_eq_alphasq,seconds
run_20251208-153337,2,1,2,1,1,1,True,True,0.152
run_20251208-153337,3,1,3,1,1,1,True,True,0.009
run_20251208-153337,4,1,4,1,1,1,True,True,0.007
run_20251208-153337,4,2,6,3,3,3,True,True,0.011
run_20251208-153337,5,1,5,1,1,1,True,True,0.005
run_20251208-153337,5,2,10,4,3,1,False,False,0.007
run_20251208-153337,6,1,6,1,1,1,True,True,0.006
run_20251208-153337,6,2,15,5,5,1,True,False,0.008
run_20251208-153337,6,3,20,10,10,10,True,True,0.004
run_20251208-153337,7,1,7,1,1,1,True,True,0.004
run_20251208-153337,7,2,21,6,3,1,False,False,0.051
