n,k,|V|,alpha,alpha_odd,alpha_sq,eq_alpha_odd_alpha,eq_alpha_odd_alpha_sq
2,1,2,1,1,1,True,True
3,1,3,1,1,1,True,True
4,1,4,1,1,1,True,True
4,2,6,3,3,3,True,True
5,1,5,1,1,1,True,True
5,2,10,4,3,1,False,False
6,1,6,1,1,1,True,True
6,2,15,5,5,1,True,False
6,3,20,10,10,10,True,True
7,1,7,1,1,1,True,True
7,2,21,6,3,1,False,False
7,3,35,15,15,7,True,False
8,1,8,1,1,1,True,True
8,2,28,7,7,1,True,False
8,3,56,21,16,1,False,False
8,4,70,35,35,35,True,True
9,1,9,1,1,1,True,True
9,2,36,8,3,1,False,False
