graf,final_pred_alpha_eq_alpha_od, actual_alpha_eq_alpha_od, method_alpha_eq_alpha_od,final_pred_alpha_G2_eq_alpha_od,actual_alpha_G2_eq_alpha_od,method_alpha_G2_eq_alpha_od
30_435_1,True,True,definitna_lastnost,True,True,definitna_lastnost
25_300_1,True,True,definitna_lastnost,True,True,definitna_lastnost
20_99_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha_od=1
20_100_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha_od=1
30_197_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha_od=1
30_217_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha_od=1
30_77_1,False,False,ML_alpha=alpha_od,False,False,ML_alpha2=alpha_od
30_93_1,False,False,ML_alpha=alpha_od,False,False,ML_alpha2=alpha_od
30_96_1,False,False,ML_alpha=alpha_od,False,False,ML_alpha2=alpha_od
30_71_1,False,False,ML_alpha=alpha_od,False,False,ML_alpha2=alpha_od
40_304_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha_od=1
40_332_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha_od=1
40_77_1,False,False,ML_alpha=alpha_od,False,False,ML_alpha2=alpha_od
40_78_1,False,False,ML_alpha=alpha_od,False,False,ML_alpha2=alpha_od
40_79_1,False,False,ML_alpha=alpha_od,False,False,ML_alpha2=alpha_od
40_92_1,True,False,ML_alpha=alpha_od,False,False,ML_alpha2=alpha_od
40_87_1,True,False,ML_alpha=alpha_od,False,False,ML_alpha2=alpha_od
40_65_1,False,False,ML_alpha=alpha_od,False,False,ML_alpha2=alpha_od
40_89_1,True,False,ML_alpha=alpha_od,False,False,ML_alpha2=alpha_od
40_82_1,False,False,ML_alpha=alpha_od,True,False,ML_alpha2=alpha_od
40_76_1,False,False,ML_alpha=alpha_od,False,False,ML_alpha2=alpha_od
40_292_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha_od=1
40_311_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha2=alpha_od
40_313_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha_od=1
40_334_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha_od=1
40_291_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha2=alpha_od
40_325_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha_od=1
40_301_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha_od=1
40_305_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha2=alpha_od
40_328_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha_od=1
40_30_1,True,False,ML_alpha=alpha_od,False,False,ML_alpha2=alpha_od
40_17_1,True,False,ML_alpha=alpha_od,False,False,ML_alpha2=alpha_od
40_19_1,True,False,ML_alpha=alpha_od,False,False,ML_alpha2=alpha_od
40_21_1,True,False,ML_alpha=alpha_od,False,False,ML_alpha2=alpha_od
40_27_1,True,False,ML_alpha=alpha_od,False,False,ML_alpha2=alpha_od
40_18_1,True,False,ML_alpha=alpha_od,True,True,definitna_lastnost
40_24_1,True,False,ML_alpha=alpha_od,False,False,ML_alpha2=alpha_od
40_23_1,True,False,ML_alpha=alpha_od,False,False,ML_alpha2=alpha_od
20_153_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha_od=1
20_146_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha_od=1
20_141_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha_od=1
20_162_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha_od=1
20_149_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha_od=1
20_155_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha_od=1
20_143_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha_od=1
20_165_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha_od=1
20_152_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha_od=1
20_147_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha_od=1
30_182_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha_od=1
30_164_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha2=alpha_od
30_158_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha2=alpha_od
30_175_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha2=alpha_od
30_151_1,True,False,ML_alpha=alpha_od,True,False,ML_alpha2=alpha_od
15_45_1,False,False,ML_alpha=alpha_od,True,False,ML_alpha2=alpha_od
15_41_1,True,False,ML_alpha=alpha_od,False,False,ML_alpha2=alpha_od
15_43_1,True,False,ML_alpha=alpha_od,False,False,ML_alpha2=alpha_od
15_37_1,False,False,ML_alpha=alpha_od,False,False,ML_alpha2=alpha_od
15_38_1,True,False,ML_alpha=alpha_od,False,True,ML_alpha2=alpha_od
15_34_1,False,False,ML_alpha=alpha_od,False,True,ML_alpha2=alpha_od
15_39_1,True,False,ML_alpha=alpha_od,False,False,ML_alpha2=alpha_od
11_25_1,False,False,ML_alpha=alpha_od,False,False,ML_alpha2=alpha_od
11_18_1,True,False,ML_alpha=alpha_od,False,False,ML_alpha2=alpha_od
11_21_1,True,False,ML_alpha=alpha_od,False,False,ML_alpha2=alpha_od
11_26_1,False,False,ML_alpha=alpha_od,True,False,ML_alpha2=alpha_od
11_22_1,True,False,ML_alpha=alpha_od,False,False,ML_alpha2=alpha_od
11_23_1,False,False,ML_alpha=alpha_od,True,True,ML_alpha2=alpha_od
11_31_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha_od=1
20_173_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha_od=1
20_174_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha_od=1
20_175_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha_od=1
20_167_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha_od=1
20_177_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha_od=1
20_171_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha_od=1
20_166_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha_od=1
20_25_1,False,False,ML_alpha=alpha_od,False,False,ML_alpha2=alpha_od
20_28_1,False,False,ML_alpha=alpha_od,False,False,ML_alpha2=alpha_od
20_21_1,False,False,ML_alpha=alpha_od,False,False,ML_alpha2=alpha_od
20_26_1,False,False,ML_alpha=alpha_od,False,False,ML_alpha2=alpha_od
20_24_1,False,False,ML_alpha=alpha_od,True,False,ML_alpha2=alpha_od
20_30_1,True,False,ML_alpha=alpha_od,False,False,ML_alpha2=alpha_od
20_13_1,True,False,ML_alpha=alpha_od,False,False,ML_alpha2=alpha_od
20_27_1,False,False,ML_alpha=alpha_od,False,False,ML_alpha2=alpha_od
20_169_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha_od=1
20_170_1,True,False,ML_alpha=alpha_od,True,True,ML_alpha_od=1

