graf,druzina,Eulerjev,alpha,alpha^2,alpha_od,drevo,dvodelen,gostota,gozd,kromaticno_stevilo,max_stopnja,min_stopnja,obseg,premer,radij,vse_neparne
K1,popolni,True,1,1,1,True,True,0.000000000000000,True,1,0,0,inf,0,0,False
K2,popolni,False,1,1,1,True,True,1.0,True,2,1,1,inf,1,1,True
K3,popolni,True,1,1,1,False,False,1.0,False,3,2,2,3,1,1,False
K4,popolni,False,1,1,1,False,False,1.0,False,4,3,3,3,1,1,True
K5,popolni,True,1,1,1,False,False,1.0,False,5,4,4,3,1,1,False
K6,popolni,False,1,1,1,False,False,1.0,False,6,5,5,3,1,1,True
K7,popolni,True,1,1,1,False,False,1.0,False,7,6,6,3,1,1,False
K8,popolni,False,1,1,1,False,False,1.0,False,8,7,7,3,1,1,True
K9,popolni,True,1,1,1,False,False,1.0,False,9,8,8,3,1,1,False
K10,popolni,False,1,1,1,False,False,1.0,False,10,9,9,3,1,1,True
K11,popolni,True,1,1,1,False,False,1.0,False,11,10,10,3,1,1,False
K12,popolni,False,1,1,1,False,False,1.0,False,12,11,11,3,1,1,True
K13,popolni,True,1,1,1,False,False,1.0,False,13,12,12,3,1,1,False
K14,popolni,False,1,1,1,False,False,1.0,False,14,13,13,3,1,1,True
K15,popolni,True,1,1,1,False,False,1.0,False,15,14,14,3,1,1,False
K16,popolni,False,1,1,1,False,False,1.0,False,16,15,15,3,1,1,True
K17,popolni,True,1,1,1,False,False,1.0,False,17,16,16,3,1,1,False
K18,popolni,False,1,1,1,False,False,1.0,False,18,17,17,3,1,1,True
K19,popolni,True,1,1,1,False,False,1.0,False,19,18,18,3,1,1,False
K20,popolni,False,1,1,1,False,False,1.0,False,20,19,19,3,1,1,True
P3,pot,False,2,1,1,True,True,0.6666666666666666,True,2,2,1,+Infinity,2,1,False
P4,pot,False,2,2,2,True,True,0.5,True,2,2,1,+Infinity,3,2,False
P5,pot,False,3,2,2,True,True,0.4,True,2,2,1,+Infinity,4,2,False
P6,pot,False,3,2,2,True,True,0.3333333333333333,True,2,2,1,+Infinity,5,3,False
P7,pot,False,4,3,3,True,True,0.2857142857142857,True,2,2,1,+Infinity,6,3,False
P8,pot,False,4,3,3,True,True,0.25,True,2,2,1,+Infinity,7,4,False
P9,pot,False,5,3,3,True,True,0.2222222222222222,True,2,2,1,+Infinity,8,4,False
P10,pot,False,5,4,4,True,True,0.2,True,2,2,1,+Infinity,9,5,False
P11,pot,False,6,4,4,True,True,0.18181818181818182,True,2,2,1,+Infinity,10,5,False
P12,pot,False,6,4,4,True,True,0.16666666666666666,True,2,2,1,+Infinity,11,6,False
P13,pot,False,7,5,5,True,True,0.15384615384615385,True,2,2,1,+Infinity,12,6,False
P14,pot,False,7,5,5,True,True,0.14285714285714285,True,2,2,1,+Infinity,13,7,False
